tipo_item,endereco,bairro,metragem_m2,latidude,longitude,lote,observacoes
area publica,rua juhei muramoto c/ rudolph diesel,tokio,"5.296,12","-23,3100873","-51,1923453",2,
praça,rua anatólio michaelowski c/ achiro kawazaki,tokio,"3.427,06","-23,3109116","-51,1946862",2,
area publica,rua dr. joao nicolau c/ rua yoshikawa koji,tokio,"1.119,75","-23,3133755","-51,1919477",2,
viela,entre as ruas pedro nolasco da silva e yoshikawa koji (04 areas),tokio,"800,4","-23,3102394","-51,1925207",2,
area publica,rua michael dakkache entre as ruas dr. joao nicolau e tamekishi hara,tokio,"2.105,21","-23,3163332","-51,1931414",2,
fundo de vale,rua dr. joao nicolau e rua yvette dias da silva,napoli,"27.628,10","-23,3103586","-51,1920201",2,
canteiro,rua nilo peçanha c/ rua epitácio pessoa,hedy,"86,98","-23,315846","-51,1868317",2,
viela,entre as ruas cabo frio e quata,champagnat,"1.600,80","-23,311132","-51,1888252",2,
area publica,rua emilio vizentin / rua joão vicente martins,port. de versalhes,"4.905,25","-23,3171243","-51,1951868",2,
fundo de vale,rua acylino augusto do nascimento,pinheiros,"1.030,82","-23,3181364","-51,1946316",2,
canteiros,av. castelo branco,vários,"19.690,31","-23,3147093","-51,1781284",2,
praça,rua milton gavetti c/ av. castelo branco,universitario,"2.816,98","-23,3182686","-51,1874701",2,
canteiros e lateral,rua goias e alameda joubert de carvalho,centro,"1.955,56","-23,3155938","-51,1522252",2,
lateral,castelo branco da ponte do tokio ate rotatoria uel,port. de versalhes,840,"-23,3197305","-51,1662008",2,
fundo de vale,rua armando balarotte (rotatoria da av. castelo branco até marginal pr-445),port. de versalhes,"37.682,00","-23,3204463","-51,1985185",2,
fundo de vale,foz do iguaçu,vale do rubi,"23.318,88","-23,3041236","-51,1793108",2,
area publica,rua governador valadares c/ rua foz do iguaçu,andrade,"9.901,13","-23,3087853","-51,1815239",2,
area publica,rua manoel joaquim gregorio c/ rua julio prestes,bancarios,"2.742,68","-23,3069696","-51,1810281",2,
praça,rua afonso pena,hedy,"7.293,88","-23,3146702","-51,1852762",2,
viela,virgilio jorge / nilson ribas/ olavo bilac ( 03 áreas ),champagnat,"887,6","-23,3054331","-51,1852289",2,
praça,quata c/ sorocaba/ alfredo batini,san remo,"22.859,44","-23,3084411","-51,1899281",2,
